,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
18,F29432,2019-09-05 00:00:00,2019-09-20,976.5
22,F29436,2019-09-06 00:00:00,2019-09-21,976.5
65,F29479,2019-09-11 00:00:00,2019-09-11,4135.0
71,F29485,2019-09-12 00:00:00,2019-09-27,976.5000000000001
72,F29486,2019-09-12 00:00:00,2019-09-27,976.5000000000001
78,F29492,2019-09-12 00:00:00,2019-10-12,262.94
79,F29493,2019-09-12 00:00:00,2019-10-12,448.28000000000003
114,F29528,2019-09-18 00:00:00,2019-10-03,2697.0
116,F29530,2019-09-18 00:00:00,2019-10-03,2697.0
135,F29549,2019-09-19 00:00:00,2019-10-04,1155.0
160,F29574,2019-09-20 00:00:00,2019-09-20,420.00000000000006
168,F29582,2019-09-10 00:00:00,2019-10-20,4679.0
182,F29596,2019-09-17 00:00:00,2019-10-05,7125.9000000000015
185,F29599,2019-09-06 00:00:00,2019-10-23,50994.00000000001
186,F29600,2019-09-23 00:00:00,2019-10-08,2790.5000000000005
210,F29624,2019-09-24 00:00:00,2019-10-09,1319.0
256,F29670,2019-09-26 00:00:00,2019-09-26,144.0
263,F29677,2019-09-27 00:00:00,2019-10-27,4528.6
299,F29713,2019-09-30 00:00:00,2019-09-30,4070.5517000000004
305,F29719,2019-09-30 00:00:00,2019-10-30,50994.00000000001
323,F29737,2019-10-02 00:00:00,2019-10-17,976.5000000000001
343,F29757,2019-10-04 00:00:00,2019-10-03,4070.55
348,F29764,2019-10-03 00:00:00,2019-11-02,1490.0000000000002
353,F29769,2019-10-03 00:00:00,2019-10-18,6516.0
364,F29780,2019-10-04 00:00:00,2019-11-03,1490.0000000000002
368,F29784,2019-09-26 00:00:00,2019-11-03,8686.41
386,F29802,2019-10-04 00:00:00,2019-11-03,675.0
387,F29803,2019-10-03 00:00:00,2019-11-03,2430.0
388,F29804,2019-10-04 00:00:00,2019-11-03,675.0
411,F29827,2019-10-08 00:00:00,2019-10-23,659.8
417,F29833,2019-10-08 00:00:00,2019-10-23,659.7987
434,F29850,2019-10-09 00:00:00,2019-10-24,7125.9000000000015
490,F29906,2019-10-08 00:00:00,2019-10-15,315.0
496,F29912,2019-10-08 00:00:00,2019-10-15,315.0
518,F29934,2019-10-09 00:00:00,2019-11-01,5151.6
522,F29938,2019-10-02 00:00:00,2019-10-17,1300.0
523,F29939,2019-10-02 00:00:00,2019-10-17,1170.6000000000001
528,F29944,2019-10-17 00:00:00,2019-11-16,8080.0
572,F29988,2019-10-23 00:00:00,2019-10-23,4198.4069
576,F29992,2019-10-16 00:00:00,2019-11-07,2697.0
578,F29994,2019-10-15 00:00:00,2019-11-07,8031.68
606,F30022,2019-10-24 00:00:00,2019-10-24,339.20000000000005
643,F30059,2019-10-23 00:00:00,2019-10-29,819.0
663,F30079,2019-10-30 00:00:00,2019-11-29,2270.0
671,F30087,2019-10-30 00:00:00,2019-10-30,3448.2758000000003
676,F30092,2019-10-23 00:00:00,2019-11-30,9865.6
678,F30094,2019-10-31 00:00:00,2019-11-15,997.5000000000001
708,F30124,2019-11-04 00:00:00,2019-11-19,400.00000000000006
750,F30166,2019-11-04 00:00:00,2019-12-06,2964.0000000000005
753,F30169,2019-10-23 00:00:00,2019-11-14,745.69
792,F30208,2019-11-07 00:00:00,2019-11-11,9100.08
793,F30209,2019-11-11 00:00:00,2019-12-11,1972.5000000000002
803,F30219,2019-11-05 00:00:00,2019-11-26,1452.2
845,F30261,2019-10-22 00:00:00,2019-12-14,2464.65
863,F30279,2019-11-15 00:00:00,2019-12-15,18240.0
875,F30291,2019-11-19 00:00:00,2019-12-04,1225.0
883,F30299,2019-11-20 00:00:00,2019-12-05,1252.5
891,F30307,2019-11-12 00:00:00,2019-12-20,3168.0000000000005
930,F30346,2019-11-05 00:00:00,2019-12-22,7802.1
