,FECHA_DOC,CANT,DESCR
0,2022-01-05,1,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V"
1,2022-01-05,1,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT"
2,2022-01-05,7,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT
3,2022-01-05,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
4,2022-01-05,2,BAN P INOX 115MMX235MM 1000W 127V T/TOR
5,2022-01-05,2,BAN P INOX 55MMX235MM 450W 127V T/TOR
6,2022-01-05,1,REPARACION DE BATIDOR 16.6KW 440V
7,2022-01-05,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
8,2022-01-05,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
9,2022-01-05,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
10,2022-01-05,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
11,2022-01-05,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
12,2022-01-05,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
13,2022-01-05,1,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA
14,2022-01-05,1,BC INOX 114MMØX165MM 1500W 230V C/ALLEN
15,2022-01-05,5,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP"
16,2022-01-05,2,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
17,2022-01-05,3,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT"
18,2022-01-05,5,BAN MICA 120mmØx50mm 850W 440V TTORNILLO
19,2022-01-05,7,BAN MICA Ø120MM X 50 MM 700W 440V T TOR
20,2022-01-05,3,BAN INOX 36MMØX25MM 150W 240V EXT30CM
21,2022-01-07,3,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN"
22,2022-01-07,1,PT-100 4MMØX10CM EXT 5MT TEFLON 2HILOS
23,2022-01-07,1,"PT-100 DE 1/4""ØX14.5CM EXT 5MT CONECTOR"
24,2022-01-07,2,REPARACION DE TERMOPAR
25,2022-01-07,3,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP"
26,2022-01-07,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
27,2022-01-07,6,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
28,2022-01-07,2,"PT-100 1/4""Øx60CMS CABEZA Y BLOCK 1/2""X"
29,2022-01-07,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX
30,2022-01-10,6,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V"
31,2022-01-10,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX
32,2022-01-10,1,"TUB INOX 1/4""ØX6"" 1675W 120V PARRILLA"
33,2022-01-11,10,"TER J 3/16""ØX1"" EXT.2MTS MALLA Z/ESPADA"
34,2022-01-11,10,"TER K 3/16""ØX1"" EXT.2MT RES/MALLA INOX"
35,2022-01-11,1,REPARACION DE SELLADORA PCS-300
36,2022-01-11,1,REPARACION DE SELLADORA PCS-200
37,2022-01-11,1,BAN INOX 197MMØX152MM 3500W 440V T/TORNI
38,2022-01-12,40,"CART INOX 3/8""Øx8"" 340W, 220V CABLE 35CM"
39,2022-01-12,1,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN"
40,2022-01-12,3,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L"""
41,2022-01-12,9,"TUB INOX 7/16""ØX80CM 1200W 127V T/TOR"
42,2022-01-12,10,BOB 8020  CAL.19 79MMØX750MM GAZA 40CM
43,2022-01-12,8,"TUB INOX 5/16""ØX50CM 4000W240V ""J"" 1""NPT"
44,2022-01-13,2,"TER J 3/16""ØX50MM TRANS 1/4""ØX4MM EXT3MT"
45,2022-01-14,1,"TUB INOX. 5/16""Øx1 MTS 900W, 127V. U TOR"
46,2022-01-14,2,"TUB INOX 7/16""ØX410MM 2500W220V CIRCULAR"
47,2022-01-14,2,"TUB INOX 7/16""ØX36.4CM 2500W220V ""M ESP"""
48,2022-01-14,4,"TUB INOX 5/16""Øx64CMS 700W220V."
49,2022-01-14,1,"TUB INOX 5/16""ØX111MM 2500W220V ESPIRAL"
50,2022-01-17,5,"TUB. INOX. 5/16 Øx615mm. 2000W 440V ""U"""""
51,2022-01-17,1,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
52,2022-01-17,1,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
53,2022-01-17,2,"TUB INOX 5/16""ØX110MM 1500W 127V ESPIRAL"
54,2022-01-17,2,"TUB INOX 5/16""ØX110MM 1500W 240V ESPIRAL"
55,2022-01-17,1,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V CHI"
56,2022-01-17,1,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V GDE"
57,2022-01-17,4,BOB 8020 CAL.19 1612W 127V CER-8CANALES
58,2022-01-18,1,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M"
59,2022-01-19,2,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM"
60,2022-01-19,2,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM"
61,2022-01-19,3,BC PLANA INOX 52MMX60CM 750W 220V T/TOR
62,2022-01-19,3,BC PLANA INOX 51MMX490MM 1000W 220V T/TO
63,2022-01-19,6,BAN P COMUN 74MMX50CM 750W 220V T/TOR
64,2022-01-19,2,TIRA INOX 38MMX440MM 750W 230V T/TIPO H
65,2022-01-19,8,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT"
66,2022-01-19,2,BAN INOX 58MMØX30MM 200W 230V EX1MT ALLE
67,2022-01-19,4,BAN INOX 122MMØX50MM 750W460V EXT1MT STD
68,2022-01-20,4,"TUB INOX 7/16""ØX742MM U 20KW440V BRIDA6"""
69,2022-01-20,2,BAN P COMUN 100CMX21MM 900W220V T/TOR
70,2022-01-20,1,BAN P INOX 28MMX128MM 125W 230V T/TOR
71,2022-01-21,10,"TER K 3/16""ØX1 1/2"" EXT.7MT MALLA Z/ESPA"
72,2022-01-21,1,BAN P A/COMUN 200MMx102MM 390W127V T/TOR
73,2022-01-21,1,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH"
74,2022-01-21,30,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
75,2022-01-21,3,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
76,2022-01-24,10,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO
77,2022-01-24,6,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM
78,2022-01-24,6,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM"
79,2022-01-24,8,CARTUCHO 8MMØ X290MM 500W 220V
80,2022-01-24,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT
81,2022-01-24,2,BAN INOX 103MMØX45MMØX65MM 400W255V ESP
82,2022-01-24,2,BAN M/L INOX 210mmØx70mm 650W 255V CABLE
83,2022-01-24,2,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD
84,2022-01-25,1,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V."
85,2022-01-25,12,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL"
86,2022-01-25,12,"TER J 3/16""Øx8mm EXT. .90CMS CLAVIJA"
87,2022-01-25,1,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL
88,2022-01-25,20,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
89,2022-01-26,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
90,2022-01-26,3,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4"""
91,2022-01-26,1,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM"
92,2022-01-27,1,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC"
93,2022-01-27,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
94,2022-01-28,1,"TER K 1/8""ØX15CM EXT2MT MALLA INOX  ZAP"
95,2022-01-28,3,REPARACION DE SOLDADURA A PLACAS TUBULAR
96,2022-01-28,3,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V"
97,2022-01-28,3,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON"
98,2022-01-28,2,"CAS INOX 3/8""ØX2 1/2"" 175W 127V EXT.30CM"
99,2022-01-28,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
100,2022-01-28,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
101,2022-01-31,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI"
102,2022-01-31,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316"""
103,2022-01-31,2,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316"""
104,2022-01-31,1,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA"
105,2022-01-31,1,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA"
106,2022-01-31,4,"TUB INOX 1/4""ØX123MM 250W220V CIRCULAR/M"
107,2022-01-31,1,FAB BOBINA 8020 2000W 220V BASTIDOR NVO
108,2022-01-31,1,"RC 5/16""ØX37CM 300W 110V EXT. 25CM"
109,2022-01-31,2,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS"
110,2022-01-31,1,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V"
111,2022-01-31,4,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE"
112,2022-01-31,2,TUE Ø 8 MM X 303 APROX 5000 W 220 V
113,2022-01-31,1,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE"""
114,2022-01-31,1,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH"
115,2022-01-31,4,CAS INOX 12MMØX90MM 220W 110V  EXT.15CMS
116,2022-01-31,2,BB INOX 40MMØX60MM 300W 240V EXT.30CM
117,2022-01-31,1,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP"
118,2022-02-01,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
119,2022-02-01,4,"TER J 3/16""ØX5"" EXT4MT RES/MALLA INOX"
120,2022-02-01,2,"TER J 3/16""ØX9"" EXT4MT RES/MALLA INOX"
121,2022-02-02,1,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
122,2022-02-02,2,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL"""
123,2022-02-02,1,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP"
124,2022-02-02,1,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL"
125,2022-02-02,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
126,2022-02-02,2,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V
127,2022-02-03,1,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM"
128,2022-02-03,4,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT"
129,2022-02-03,4,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8"
130,2022-02-03,4,"TUB INOX 7/16""ØX26CM 1100W127V BUSH"
